Ticker,EPS Date,Name,Estimated  EPS ,Actual EPS
A,2017-05-22,A UN Equity,0.59,0.3702
AA,2017-07-19,AA UN Equity,0.62,0.7652
AAL,2017-07-28,AAL UW Equity,1.92,2.0135
AAP,2017-05-24,AAP UN Equity,1.58,1.5008
AAPL,2017-05-02,AAPL UW Equity,1.6656,1.6719
ABBV,2017-07-28,ABBV UN Equity,1.42,1.3028
ABC,2017-08-03,ABC UN Equity,1.43,1.3959
ABMD,2017-07-27,ABMD UW Equity,0.48,0.85
ABT,2017-07-20,ABT UN Equity,0.62,0.3915
ACGL,2017-07-26,ACGL UW Equity,0.4033,0.4879
ACHC,2017-07-27,ACHC UW Equity,0.66,0.4674
ACM,2017-08-08,ACM UN Equity,0.78,0.65
ACN,2017-06-22,ACN UN Equity,1.52,1.5751
ADBE,2017-06-20,ADBE UW Equity,0.801,0.7543
ADI,2017-05-31,ADI UW Equity,1.26,1.2706
ADM,2017-08-01,ADM UN Equity,0.57,0.5587
ADNT,2017-07-27,ADNT UN Equity,2.52,2.432
ADP,2017-07-27,ADP UW Equity,0.66,0.6578
ADS,2017-07-20,ADS UN Equity,2.4677,2.48
ADSK,2017-05-18,ADSK UW Equity,-0.5836,-0.5121
AEE,2017-08-04,AEE UN Equity,0.7955,0.79
AEP,2017-07-27,AEP UN Equity,0.75,0.7532
AES,2017-08-08,AES UN Equity,0.25,0.2872
AFG,2017-08-01,AFG UN Equity,1.61,1.6522
AFL,2017-07-27,AFL UN Equity,0.915,0.9333
AGCO,2017-07-27,AGCO UN Equity,1.15,1.1547
AGIO,2017-08-08,AGIO UW Equity,-1.78,-1.78
AGNC,2017-07-26,AGNC UW Equity,0.67,0.05
AGO,2017-08-02,AGO UN Equity,1.16,1.0899
AGR,2017-07-19,AGR UN Equity,0.46,0.4232
AHL,2017-07-26,AHL UN Equity,0.47,0.2561
AIG,2017-08-02,AIG UN Equity,1.53,1.5566
AIV,2017-07-27,AIV UN Equity,0.0915,0.0917
AIZ,2017-08-01,AIZ UN Equity,1.63,2.3646
AJG,2017-07-27,AJG UN Equity,1.0308,0.4842
AKAM,2017-07-25,AKAM UW Equity,0.3557,0.4862
AL,2017-08-03,AL UN Equity,0.92,0.9722
ALB,2017-08-07,ALB UN Equity,1.13,1.135
ALGN,2017-07-27,ALGN UW Equity,0.85,0.86
ALK,2017-07-26,ALK UN Equity,2.51,2.5005
ALKS,2017-07-27,ALKS UW Equity,-0.2833,-0.2845
ALL,2017-08-01,ALL UN Equity,1.38,1.7312
ALLE,2017-07-27,ALLE UN Equity,1.11,1.0884
ALLY,2017-07-27,ALLY UN Equity,0.58,0.5561
ALNY,2017-08-09,ALNY UW Equity,-1.34,-1.3403
ALSN,2017-07-31,ALSN UN Equity,0.6516,0.6464
ALXN,2017-07-27,ALXN UW Equity,0.9009,0.9915
AMAT,2017-05-18,AMAT UW Equity,0.86,0.8655
AMCX,2017-08-03,AMCX UW Equity,1.88,1.8075
AMD,2017-05-01,AMD UW Equity,-0.0094,-0.0413
AME,2017-08-02,AME UN Equity,0.6498,0.65
AMG,2017-07-31,AMG UN Equity,3.33,2.24
AMGN,2017-07-25,AMGN UW Equity,2.9212,2.9376
AMH,2017-08-03,AMH UN Equity,0.0151,0.0151
AMP,2017-07-25,AMP UN Equity,2.8,2.927
AMT,2017-07-27,AMT UN Equity,0.8002,0.8049
AMTD,2017-07-18,AMTD UW Equity,0.4358,0.375
AMZN,2017-07-27,AMZN UW Equity,0.4004,0.41
AN,2017-08-02,AN UN Equity,0.86,0.87
ANET,2017-08-03,ANET UN Equity,1.1573,1.2777
ANSS,2017-08-02,ANSS UW Equity,0.8212,0.8382
ANTM,2017-07-26,ANTM UN Equity,3.37,3.821
AON,2017-08-04,AON UN Equity,1.53,0.758
AOS,2017-07-26,AOS UN Equity,0.5283,0.53
APA,2017-08-03,APA UN Equity,-0.21,-0.2073
APC,2017-07-24,APC UN Equity,-0.77,-0.7676
APD,2017-08-01,APD UN Equity,1.65,1.6644
APH,2017-07-26,APH UN Equity,0.81,0.8345
APLE,2017-08-07,APLE UN Equity,0.39,0.3088
APTV,2017-08-02,APTV UN Equity,1.71,1.0994
AR,2017-08-02,AR UN Equity,-0.04,-0.0939
ARE,2017-07-31,ARE UN Equity,0.4312,0.3516
ARMK,2017-08-08,ARMK UN Equity,0.323,0.3381
ARNC,2017-07-24,ARNC UN Equity,0.32,0.3333
ARRS,2017-08-02,ARRS UW Equity,0.2352,0.2401
ARW,2017-05-04,ARW UN Equity,1.78,1.7247
ASB,2017-07-20,ASB UN Equity,0.36,0.36
ASH,2017-08-01,ASH UN Equity,0.83,0.4581
ATH,2017-08-09,ATH UN Equity,1.43,0.1247
ATHN,2017-07-20,ATHN UW Equity,0.2894,0.2795
ATO,2017-08-02,ATO UN Equity,0.6657,0.67
ATR,2017-07-27,ATR UN Equity,1.01,1.04
ATVI,2017-08-03,ATVI UW Equity,0.3325,0.3367
AVB,2017-08-02,AVB UN Equity,1.0517,1.0563
AVGO,2017-06-01,AVGO UW Equity,1.1789,1.3385
AVT,2017-04-27,AVT UW Equity,0.84,0.7392
AVY,2017-04-26,AVY UN Equity,1.31,1.3333
AWI,2017-07-31,AWI UN Equity,0.73,0.8861
AWK,2017-08-02,AWK UN Equity,0.7318,0.7247
AXP,2017-07-19,AXP UN Equity,1.47,1.48
AXS,2017-07-26,AXS UN Equity,1.31,1.3132
AXTA,2017-08-03,AXTA UN Equity,0.31,0.2968
AYI,2017-06-29,AYI UN Equity,2.15,1.9143
AZO,2017-05-23,AZO UN Equity,11.436,11.7
AZPN,2017-08-10,AZPN UW Equity,0.7373,0.7416
BA,2017-07-26,BA UN Equity,2.55,2.9333
BAC,2017-07-18,BAC UN Equity,0.4811,0.4966
BAH,2017-08-07,BAH UN Equity,0.53,0.4788
BAX,2017-07-26,BAX UN Equity,0.63,0.5901
BBT,2017-07-20,BBT UN Equity,0.78,0.7874
BBY,2017-05-25,BBY UN Equity,0.69,0.7037
BC,2017-04-27,BC UN Equity,1.3479,1.3902
BDN,2017-07-20,BDN UN Equity,0.02,0.019
BDX,2017-08-03,BDX UN Equity,2.46,2.2871
BEN,2017-07-28,BEN UN Equity,0.73,0.7263
BERY,2017-05-03,BERY UN Equity,0.93,0.8988
BF-A,2017-06-07,BF/A UN Equity,0.3685,0.368
BF-B,2017-06-07,BF/B UN Equity,0.3685,0.368
BFAM,2017-08-01,BFAM UN Equity,0.5681,0.5877
BG,2017-08-02,BG UN Equity,0.17,0.1637
BGCP,2017-07-26,BGCP UW Equity,0.24,0.2385
BIIB,2017-07-25,BIIB UW Equity,4.4985,4.6442
BIO,2017-08-03,BIO UN Equity,0.3888,0.4284
BK,2017-07-20,BK UN Equity,0.9301,0.8795
BKNG,2017-08-08,BKNG UW Equity,15.14,14.6724
BKU,2017-07-26,BKU UN Equity,0.6023,0.6
BLK,2017-07-17,BLK UN Equity,5.24,5.1138
BLL,2017-08-03,BLL UN Equity,0.53,0.3517
BLUE,2017-08-02,BLUE UW Equity,-1.73,-1.7431
BMRN,2017-08-02,BMRN UW Equity,-0.001,-0.178
BMS,2017-07-27,BMS UN Equity,0.48,0.516
BMY,2017-07-27,BMY UN Equity,0.74,1.0899
BOH,2017-07-24,BOH UN Equity,1.0476,1.0552
BOKF,2017-07-26,BOKF UW Equity,1.3604,1.35
BPOP,2017-07-26,BPOP UW Equity,0.94,0.94
BR,2017-08-10,BR UN Equity,1.71,1.6367
BRKR,2017-08-03,BRKR UW Equity,0.23,0.1777
BRO,2017-07-17,BRO UN Equity,0.245,0.2467
BRX,2017-07-31,BRX UN Equity,0.2388,0.2162
BSX,2017-07-27,BSX UN Equity,0.32,0.2633
BURL,2017-05-25,BURL UN Equity,0.72,0.6907
BWA,2017-07-27,BWA UN Equity,0.96,0.9566
BWXT,2017-08-07,BWXT UN Equity,0.56,0.5661
BXP,2017-08-01,BXP UN Equity,0.749,0.7497
C,2017-07-14,C UN Equity,1.28,1.27
CABO,2017-08-08,CABO UN Equity,5.5447,5.4141
CACC,2017-07-31,CACC UW Equity,5.22,5.09
CAG,2017-06-29,CAG UN Equity,0.37,0.5835
CAH,2017-08-02,CAH UN Equity,1.31,2.5639
CASY,2017-06-05,CASY UW Equity,1.4613,1.482
CAT,2017-07-25,CAT UN Equity,1.49,1.5292
CB,2017-07-25,CB UN Equity,2.5,3.3805
CBOE,2017-08-04,CBOE UF Equity,0.6335,0.6268
CBRE,2017-07-27,CBRE UN Equity,0.65,0.5168
CBS,2017-08-07,CBS UN Equity,0.97,0.98
CBSH,2017-07-13,CBSH UW Equity,0.6803,0.6803
CBT,2017-08-01,CBT UN Equity,0.81,0.8397
CC,2017-08-02,CC UN Equity,0.87,0.9411
CCI,2017-07-19,CCI UN Equity,0.326,0.3195
