ticker,EPS.Date,name,BEST_EPS,IS_EPS
A,2017-05-22,A,0.484,0.58
AA,2017-07-19,AA,0.548,0.41
AAL,2017-07-28,AAL,1.093,1.76
AAP,2017-05-24,AAP,1.659,1.58
AAPL,2017-05-02,AAPL,1.543,1.58
ABBV,2017-07-28,ABBV,1.72,1.2
ABC,2017-08-03,ABC,1.51,1.89
ABT,2017-07-20,ABT,0.808,0.16
ACGL,2017-07-26,ACGL,0.524,0.43
ACHC,2017-07-27,ACHC,0.771,0.57
ACM,2017-08-08,ACM,0.815,0.66
ACN,2017-06-22,ACN,0.815,0.53
ADBE,2017-06-20,ADBE,1.81,1.33
ADI,2017-05-31,ADI,0.844,1.03
ADM,2017-08-01,ADM,0.846,0.48
ADNT,2017-07-27,ADNT,2.845,2.03
ADS,2017-07-20,ADS,6.066,2.48
ADSK,2017-05-18,ADSK,-0.134,0.05
AEP,2017-07-27,AEP,0.708,0.76
AES,2017-08-08,AES,0.3,0.08
AFG,2017-08-01,AFG,2.165,1.64
AFL,2017-07-27,AFL,0.818,0.9
AGCO,2017-07-27,AGCO,1.15,1.15
AGIO,2017-08-08,AGIO,-0.495,-1.78
AGNC,2017-07-26,AGNC,0.607,0.05
AGO,2017-08-02,AGO,0.885,1.26
AGR,2017-07-19,AGR,0.68,0.39
AHL,2017-07-26,AHL,1.01,1.09
AIG,2017-08-02,AIG,1.539,1.22
AIV,2017-07-27,AIV,0.11,0.1
AIZ,2017-08-01,AIZ,1.92,2.18
AJG,2017-07-27,AJG,0.833,0.39
AKAM,2017-07-25,AKAM,0.769,0.33
AL,2017-08-03,AL,1.096,0.98
ALB,2017-08-07,ALB,1.28,0.93
ALGN,2017-07-27,ALGN,1.103,0.86
ALK,2017-07-26,ALK,2.02,2.37
ALKS,2017-07-27,ALKS,0.1,-0.28
ALL,2017-08-01,ALL,2.07,1.51
ALLE,2017-07-27,ALLE,1.04,1.11
ALLY,2017-07-27,ALLY,0.71,0.55
ALNY,2017-08-09,ALNY,-0.945,-1.34
ALSN,2017-07-31,ALSN,0.664,0.63
ALXN,2017-07-27,ALXN,2.1,0.74
AMAT,2017-05-18,AMAT,0.765,0.79
AMCX,2017-08-03,AMCX,1.762,1.55
AMD,2017-05-01,AMD,1.74,1.88
AME,2017-08-02,AME,0.708,0.65
AMG,2017-07-31,AMG,0.723,2.24
AMGN,2017-07-25,AMGN,3.127,2.93
