Ticker,Date,Name,Estimate,Actual
A ,2017-05-22,Agilent Technologies Inc,0.484000 ,0.580000 
AA ,2017-07-19,Alcoa Corp,0.581000 ,0.620000 
AAL ,2017-07-28,American Airlines Group Inc,1.872000 ,1.920000 
AAP ,2017-08-15,Advance Auto Parts Inc,1.659000 ,1.580000 
AAPL ,2017-05-02,Apple Inc,2.022000 ,2.100000 
ABBV ,2017-07-28,AbbVie Inc,1.399000 ,1.420000 
ABC ,2017-05-04,AmerisourceBergen Corp,1.679000 ,1.770000 
ABT ,2017-07-20,Abbott Laboratories,0.605000 ,0.620000 
ACC ,2017-07-24,American Campus Communities In,0.538000 ,0.530000 
ACGL ,2017-07-26,Arch Capital Group Ltd,0.391000 ,0.400000 
ACHC ,2017-07-27,Acadia Healthcare Co Inc,0.648000 ,0.660000 
ACM ,2017-05-09,AECOM,0.608000 ,0.890000 
ACN ,2017-03-23,Accenture PLC,1.299000 ,1.330000 
ADBE ,2017-06-20,Adobe Inc,0.946000 ,1.020000 
ADI ,2017-05-31,Analog Devices Inc,0.844000 ,1.030000 
ADM ,2017-08-01,Archer-Daniels-Midland Co,0.516000 ,0.570000 
ADNT ,2017-04-28,Adient PLC,2.408000 ,2.500000 
ADS ,2017-07-20,Alliance Data Systems Corp,3.728000 ,3.840000 
AEE ,2017-08-04,Ameren Corp,0.710000 ,0.800000 
AEP ,2017-07-27,American Electric Power Co Inc,0.816000 ,0.750000 
AES ,2017-08-08,AES Corp/VA,0.208000 ,0.250000 
AFG ,2017-08-01,American Financial Group Inc/O,1.310000 ,1.610000 
AFL ,2017-07-27,Aflac Inc,0.821000 ,0.920000 
AGCO ,2017-07-27,AGCO Corp,1.039000 ,1.150000 
AGIO ,2017-08-08,Agios Pharmaceuticals Inc,-1.558000 ,-1.780000 
AGN ,2017-08-03,Allergan PLC,3.919000 ,4.020000 
AGNC ,2017-07-26,AGNC Investment Corp,0.606000 ,0.670000 
AGO ,2017-08-02,Assured Guaranty Ltd,0.765000 ,1.160000 
AGR ,2017-07-19,Avangrid Inc,0.398000 ,0.460000 
AHL ,2017-07-26,Aspen Insurance Holdings Ltd,0.950000 ,0.470000 
AIG ,2017-08-02,American International Group I,1.196000 ,1.530000 
AIV ,2017-07-27,Apartment Investment & Managem,0.591000 ,0.610000 
AIZ ,2017-08-01,Assurant Inc,1.598000 ,1.630000 
AJG ,2017-07-27,Arthur J Gallagher & Co,1.029000 ,1.030000 
AKAM ,2017-07-25,Akamai Technologies Inc,0.604000 ,0.620000 
AL ,2017-08-03,Air Lease Corp,0.855000 ,0.920000 
ALB ,2017-08-07,Albemarle Corp,1.103000 ,1.130000 
ALGN ,2017-07-27,Align Technology Inc,0.728000 ,0.850000 
ALK ,2017-07-26,Alaska Air Group Inc,2.518000 ,2.510000 
ALKS ,2017-07-27,Alkermes PLC,-0.006000 ,0.010000 
ALL ,2017-08-01,Allstate Corp/The,0.869000 ,1.380000 
ALLE ,2017-07-27,Allegion PLC,1.002000 ,1.110000 
ALLY ,2017-07-27,Ally Financial Inc,0.524000 ,0.580000 
ALNY ,2017-08-09,Alnylam Pharmaceuticals Inc,-1.139000 ,-1.340000 
ALSN ,2017-07-31,Allison Transmission Holdings,0.481000 ,0.630000 
ALXN ,2017-07-27,Alexion Pharmaceuticals Inc,1.255000 ,1.560000 
AMAT ,2017-05-18,Applied Materials Inc,0.765000 ,0.790000 
AMCX ,2017-08-03,AMC Networks Inc,1.389000 ,1.880000 
AMD ,2017-07-25,Advanced Micro Devices Inc,0.001000 ,0.020000 
AME ,2017-08-02,AMETEK Inc,0.623000 ,0.650000 
AMG ,2017-07-31,Affiliated Managers Group Inc,3.241000 ,3.330000 
AMGN ,2017-07-25,Amgen Inc,3.108000 ,3.270000 
AMH ,2017-08-03,American Homes 4 Rent,0.260000 ,0.260000 
AMP ,2017-07-25,Ameriprise Financial Inc,2.624000 ,2.800000 
AMT ,2017-07-27,American Tower Corp,1.507000 ,1.580000 
AMTD ,2017-04-19,TD Ameritrade Holding Corp,0.407000 ,0.400000 
AMZN ,2017-07-27,Amazon.com Inc,1.424000 ,0.400000 
AN ,2017-08-02,AutoNation Inc,0.972000 ,0.860000 
ANAT ,2017-07-31,American National Insurance Co,,0.780000 
ANET ,2017-08-03,Arista Networks Inc,0.948000 ,1.340000 
